Code,Authentication Method,Reference
0,No Authentication,[RFC1583]
1,Simple Password Authentication,[RFC1583]
2,Cryptographic authentication,[RFC2328][RFC5709]
3,Cryptographic Authentication with Extended Sequence Numbers,[RFC7474]
4-255,Unassigned,
256-65535,Deprecated,[RFC6549]
