Attribute Name,Description,Contact,Reference
value,Defined in IMAP ANNOTATE extension document.,[Cyrus_Daboo],[RFC5257]
size,Defined in IMAP ANNOTATE extension document.,[Cyrus_Daboo],[RFC5257]
