Value,Description,Registrant,Specification
registrar,"The entity object instance represents the authority
        responsible for the registration in the registry.",[IESG],[RFC8543]
reseller,"The entity object instance represents a third party
        through which the registration was conducted (i.e., not the
        registry or registrar).",[IESG],[RFC8543]
privacyproxy,"The entity object instance represents a third party
        who could help to register a domain without exposing the
        registrants' private information.",[IESG],[RFC8543]
dns-operator,"The entity object instance represents a third-party
        DNS operator that maintains the name servers and zone data on
        behalf of a registrant.",[IESG],[RFC8543]
