Name,Description,Reference
Any,A policy requiring the proxy to accept any received certificate.,[RFC7826]
Proxy,"A policy where the proxy applies its own policies to 
       determine which certificates are accepted.",[RFC7826]
User,"A policy where the certificate is required to be forwarded down
         the proxy chain to the client, thus allowing the user to
         decided to accept or refuse a certificate.",[RFC7826]
