Value,Name,References
0,Reserved,[RFC6407]
1,Sender-Only,[RFC6407]
2,Receiver-Only,[RFC6407]
3,Symmetric,[RFC6407]
4-61439,Unassigned,[RFC6407]
61440-65535,Private Use,[RFC6407]
